ID,Name,Update Email,Phone,Address,City,State,Website,License ID,Source Link
32,Vireo Long Island Delivery,patients32@vireohealth.com,844-484-7366,"Long Island, New York",Long Island,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-long-island-delivery-2
33,Vireo Westchester County Delivery,patients33@vireohealth.com,844-484-7366,"Westchester County, New York",Westchester County,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-westchester-county-delivery
34,Vireo Delivery,patients34@vireohealth.com,844-484-7366,"Mt Kisco, New York",Mt Kisco,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-mt-kisco
35,Vireo Long Island Delivery,patients35@vireohealth.com,844-484-7366,"Nassau, New York",Nassau,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-long-island-delivery-3
36,Vireo Putnam Delivery,patients36@vireohealth.com,844-484-7366,"Putnam Valley, New York",Putnam Valley,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-putnam-delivery
37,Vireo Delivery,patients37@vireohealth.com,844-484-7366,"North Salem, New York",North Salem,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-salem
38,Vireo Westchester County Delivery,patients38@vireohealth.com,844-484-7366,"Westchester County, New York",Westchester County,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-westchester-county-delivery-2
39,Vireo Delivery,patients39@vireohealth.com,844-484-7366,"Centereach, New York",Centereach,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-centereach
40,Curaleaf Delivery,newburgh1@curaleaf.com,833-470-5323,"Middletown, New York",Middletown,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-middletown
41,Curaleaf Delivery,newburgh2@curaleaf.com,833-470-5323,"Wappingers Falls, New York",Wappingers Falls,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-wappingers-falls
42,Curaleaf Delivery,newburgh3@curaleaf.com,833-470-5323,"Poughkeepsie, New York",Poughkeepsie,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-poughkeepsie
43,Vireo Delivery,patients40@vireohealth.com,844-484-7366,"Riverhead, New York",Riverhead,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-riverhead
44,Vireo Delivery,patients41@vireohealth.com,844-484-7366,"Riverhead, New York",Riverhead,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery
45,Curaleaf Delivery,newburgh4@curaleaf.com,833-470-5323,"Germantown, New York",Germantown,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-germantown
46,Curaleaf Delivery,newburgh5@curaleaf.com,833-470-5323,"Pine Plains, New York",Pine Plains,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-pine-plains
47,Curaleaf Delivery,newburgh6@curaleaf.com,833-470-5323,"Kingston, New York",Kingston,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-kingston
48,Curaleaf Delivery,plattsburgh1@curaleaf.com,833-470-5323,"North Creek, New York",North Creek,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-north-creek
49,Columbia Care - Monroe County Delivery,rochester@col-care.com,585-678-8390,"Rochester, New York",Rochester,NY,www.col-care.com,,https://weedmaps.com/deliveries/columbia-care-monroe-county
50,Curaleaf Delivery,newburgh7@curaleaf.com,833-470-5323,"Liberty, New York",Liberty,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-liberty
51,Vireo Delivery,patients42@vireohealth.com,844-484-7366,"Bridgehampton, New York",Bridgehampton,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-bridgehampton
52,Curaleaf Delivery,plattsburgh2@curaleaf.com,833-470-5323,"Boonville, New York",Boonville,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-boonville
53,Curaleaf Delivery,plattsburgh3@curaleaf.com,833-470-5323,"Lowville, New York",Lowville,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-lowville
54,Curaleaf Delivery,plattsburgh4@curaleaf.com,833-470-5323,"Watertown, New York",Watertown,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-watertown
55,Curaleaf Delivery,plattsburgh5@curaleaf.com,833-470-5323,"Plattsburgh, New York",Plattsburgh,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-plattsburgh
56,Curaleaf Delivery,plattsburgh6@curaleaf.com,833-470-5323,"Elizabethtown, New York",Elizabethtown,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-elizabethtown
57,Curaleaf Delivery,plattsburgh7@curaleaf.com,833-470-5323,"Malone, New York",Malone,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-malone
58,Curaleaf Delivery,plattsburgh8@curaleaf.com,833-470-5323,"Tupper Lake, New York",Tupper Lake,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-tupper_lake
59,Curaleaf Delivery,plattsburgh9@curaleaf.com,833-470-5323,"Indian Lake, New York",Indian Lake,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-indian-lake
60,Curaleaf Delivery,plattsburgh10@curaleaf.com,833-470-5323,"Potsdam, New York",Potsdam,NY,www.curaleaf.com,,https://weedmaps.com/deliveries/curaleaf-potsdam
61,Be. Brooklyn,infobrooklyn@bestores.com,212-257-3145,"202 Flatbush Ave, Brooklyn, NY 11217",Brooklyn,NY,bestores.com,,https://bestores.com/brooklyn/
62,Be. Brooklyn,infostatenisland@bestores.com,212-257-3145,"338 New Dorp Ln, Staten Island, NY 10306",Staten Island,NY,bestores.com,,https://bestores.com/staten-island/
63,Be. Brooklyn,infohudsonvalley@bestores.com,212-257-3145,"1147 U.S. 9, Wappingers Falls, NY 12590",Wappingers Falls,NY,bestores.com,,https://bestores.com/hudson-valley/
64,Compassionate Care Consultants,info@compcaremd.com,484-320-6550,"195 Broadway, Fl 4, Brooklyn, NY 11211",Brooklyn,NY,compcaremd.com,,https://www.yelp.com/biz/compassionate-care-consultants-brooklyn?osq=Cannabis+Dispensaries
65,Down 2 Earth Wellness,info@down2earthwellness.com,732-497-0955,"30 W Front St, Keyport, NJ 07735",Keyport,NY,down2earthwellness.com,,https://www.yelp.com/biz/down-2-earth-wellness-keyport?osq=Cannabis+Dispensaries
66,Med MD Brooklyn,info@greenmedmdbrooklyn.com,917-909-8261,"348 Coney Island Ave, Brooklyn, NY 11218",Brooklyn,NY,greenmedmdbrooklyn.com,,https://www.yelp.com/biz/med-md-brooklyn-brooklyn?osq=Cannabis+Dispensaries
67,Cannabis MD - Medical Marijuana Doctor,info@greenweedfarms.com,424-226-6397,"41 Flatbush Ave, Fl 1, Brooklyn, NY 11217",Brooklyn,NY,greenweedfarms.com,,https://www.yelp.com/biz/cannabis-md-medical-marijuana-doctor-brooklyn-4?osq=Cannabis+Dispensaries
68,Columbia Care NY LLC,media@col-care.com,646-453-7178,"212 East 14th Street, New York, NY 10003",New York,NY,http://col-careny.com/,,https://www.health.ny.gov/regulations/medical_marijuana/application/selected_applicants.htm
69,Curaleaf NY - Newburgh,HudsonValley@curaleaf.com,845-762-0110,"8 North Plank Road, Newburgh, NY 12550",Newburgh,NY,http://col-careny.com/,,https://www.health.ny.gov/regulations/medical_marijuana/application/selected_applicants.htm
70,Curaleaf NY - Forest Hills,Queens@Curaleaf.com,646-968-2872,"107-18 70th Road, Forest Hills, NY 11375",Forest Hills,NY,http://col-careny.com/,,https://www.health.ny.gov/regulations/medical_marijuana/application/selected_applicants.htm
71,Curaleaf NY - Carle Place,carleplace@curaleaf.com,516-534-2872,"255 Glen Cove Road, Carle Place, NY 11514",Carle Place,NY,http://col-careny.com/,,https://www.health.ny.gov/regulations/medical_marijuana/application/selected_applicants.htm
72,"Etain, LLC",info1@etainhealth.com,914-437-7898,"242 East 58th Street, New York, NY 10022",New York,NY,http://etainhealth.com/,,https://compcaremd.com/ny-list-of-dispensary/
73,"Etain, LLC",info2@etainhealth.com,914-437-7898,"2140 Erie Boulevard, East Syracuse, NY 13224",East Syracuse,NY,http://etainhealth.com/,,https://compcaremd.com/ny-list-of-dispensary/
74,"Etain, LLC",info3@etainhealth.com,914-437-7898,"55 Main St., 2nd Floor, Yonkers, NY 10701",Yonkers,NY,http://etainhealth.com/,,https://compcaremd.com/ny-list-of-dispensary/
75,"Fiorello Pharmaceuticals, Inc.",nyc@gtigrows.com,212-689-8676,2E 30th Street New York NY 10016,New York,NY,http://fpwellnessny.com/,,https://compcaremd.com/ny-list-of-dispensary/
76,"Fiorello Pharmaceuticals, Inc.",rochester@gtigrows.com,585-242-0203,"1150 University Avenue, Building 5, First Floor Suite 7, Rochester, NY 14607",Rochester,NY,http://fpwellnessny.com/,,https://compcaremd.com/ny-list-of-dispensary/
77,"Fiorello Pharmaceuticals, Inc.",halfmoon@gtigrows.com,518-373-4147,"Watkins Plaza, 1675 Route 9, Halfmoon, NY 12065",Halfmoon,NY,http://fpwellnessny.com/,,https://compcaremd.com/ny-list-of-dispensary/
78,Curaleaf - Plattsburgh,plattsburgh@curaleaf.com,518-930-4340,"345 Cornelia St, Plattsburgh, NY",Plattsburgh,NY,http://shop-plattsburghny.curaleaf.com/,,https://www.leafly.com/dispensary-info/curaleafplattsburgh
79,Vireo Health of New York LLC,patients1@vireohealth.com,844-484-7366,"221-223 E. Post Road, White Plains, NY 10601",White Plains,NY,http://vireohealth.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
80,Vireo Health of New York LLC,patients2@vireohealth.com,844-484-7366,"89-55 Queens Blvd, Elmhurst, NY 11373",Elmhurst,NY,http://vireohealth.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
81,Vireo Health of New York LLC,patients3@vireohealth.com,844-484-7366,"589 Harry L Drive, Johnson City, NY 13790",Johnson City,NY,http://vireohealth.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
82,Vireo Health of New York LLC,patients4@vireohealth.com,844-484-7366,"38 Fuller Road, Albany, NY 12205",Albany,NY,http://vireohealth.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
83,Etain - Kingston,info@etainhealth.com,914-437-7898,"445 State Route 28, Kingston, NY",Kingston,NY,http://www.etainhealth.com/,,https://www.leafly.com/dispensary-info/etain-kingston
84,Verilife - Albany,brian.touhey@verilife.com,518-216-0140,"10 Executive Park Dr., Albany, NY",Albany,NY,http://www.verilife.com/,,https://www.leafly.com/dispensary-info/pharmacann-albany
85,Verilife - Liverpool,contact@verilife.com,315-666-1185,"642 Old Liverpool Rd, Liverpool, NY",Liverpool,NY,http://www.verilife.com/,,https://www.verilife.com/ny/location/liverpool
86,Citiva Medical LLC Doing Business As: Be.,infostatenisland@bestores.com,212-257-3145,"202 Flatbush Ave, Brooklyn, NY 11217",Brooklyn,NY,https://bestores.com/,,https://www.health.ny.gov/regulations/medical_marijuana/application/selected_applicants.htm
87,MedMen Syracuse - Galeville (Buckley Rd.),syracuse@medmen.com,315-802-5379,"1304 Buckley Rd STE 106, Syracuse, NY",Syracuse,NY,https://medmen.com/,,https://www.leafly.com/dispensary-info/medmen-syracuse
88,"MedMen, Inc.",info.syracuse@medmen.com,315-802-5379,"1304 Buckley Road, Syracuse, NY 13212",Syracuse,NY,https://medmen.com/ny/,,https://compcaremd.com/ny-list-of-dispensary/
89,"MedMen, Inc.",info.buffalo@medmen.com,716-954-8276,"6850 Main Street, Williamsville, NY 14221",Williamsville,NY,https://medmen.com/ny/,,https://compcaremd.com/ny-list-of-dispensary/
90,"MedMen, Inc.",info.lakesuccess@medmen.com,516-882-1934,"2001 Marcus Ave., Lake Success, NY 11042",Lake Success,NY,https://medmen.com/ny/,,https://compcaremd.com/ny-list-of-dispensary/
91,"MedMen, Inc.",info.manhattan@medmen.com,646-846-5551,"433 Fifth Avenue, New York , NY 10016",New York,NY,https://medmen.com/ny/,,https://compcaremd.com/ny-list-of-dispensary/
92,"Valley Agriceuticals, LLC",info2@sunnyside.shop,845-202-1933,"345 Route 304, Bardonia, NY 10956",Bardonia,NY,https://www.sunnyside.shop,,https://compcaremd.com/ny-list-of-dispensary/
93,"Valley Agriceuticals, LLC",info3@sunnyside.shop,518-219-8051,"4776 Commercial Drive, New Hartford, NY 13413",New Hartford,NY,https://www.sunnyside.shop,,https://compcaremd.com/ny-list-of-dispensary/
94,"Valley Agriceuticals, LLC",info4@sunnyside.shop,929-299-5932,"178 North 4th Street, Brooklyn, NY 11211",Brooklyn,NY,https://www.sunnyside.shop,,https://compcaremd.com/ny-list-of-dispensary/
95,"Valley Agriceuticals, LLC",info5@sunnyside.shop,631-546-7508,"277 Walt Whitman Road, Huntington Station, NY 11746",Huntington Station,NY,https://www.sunnyside.shop,,https://compcaremd.com/ny-list-of-dispensary/
96,Sunnyside Dispensary - Williamsburg,info6@sunnyside.shop,917-793-1107,"178 North 4th St, New York, NY 11211",New York,NY,https://www.sunnyside.shop/,,https://www.yelp.com/biz/sunnyside-dispensary-williamsburg-new-york-7?osq=Marijuana
97,Sunnyside Medical Cannabis Dispensary - Mohawk Valley,info1@sunnyside.shop,518-219-8051,"4776 Commercial Dr, New Hartford, NY",New Hartford,NY,https://www.sunnyside.shop/store/mohawk-valley-ny,,https://www.leafly.com/dispensary-info/sunnyside-dispensary-mowhawk-valley
98,"PharmaCann of New York, LLC",contact1@verilife.com,888-493-6066,"25 Northpointe Parkway, Amherst, NY 14228",Amherst,NY,https://www.verilife.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
99,"PharmaCann of New York, LLC",contact2@verilife.com,888-493-6066,"10 Executive Park Drive, Albany, NY 12203",Albany,NY,https://www.verilife.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
100,"PharmaCann of New York, LLC",contact3@verilife.com,888-493-6066,"405 Hunts Point Avenue, Bronx, NY 10474",Bronx,NY,https://www.verilife.com/ny,,https://compcaremd.com/ny-list-of-dispensary/
101,Spliff Nation,Adam@onespliffnation.com,888-331-3231,"222 Broadway, New York, NY 10038",New York,NY,onespliffnation.com,,https://www.yelp.com/biz/harmony-dispensary-secaucus?osq=Cannabis+Dispensaries
102,The Botanist,Contact@ShopBotanist.com,917-810-4540,"138-72 Queens Blvd, Queens, NY 11435",Queens,NY,shopbotanist.com,,https://www.yelp.com/biz/the-botanist-queens?osq=Cannabis+Dispensaries
103,The Botanist,buffalo@shopbotanist.com,716-322-4411,"192 Seneca Street, Buffalo, NY 14204",Buffalo,NY,shopbotanist.com,,https://www.shopbotanist.com/locations/buffalo/
104,The Botanist,farmingdale@shopbotanist.com,516-888-3344,"2365 Broadhollow Rd, Farmingdale, NY 11735",Farmingdale,NY,shopbotanist.com,,https://www.shopbotanist.com/locations/farmingdale/
105,The Botanist,middletown@shopbotanist.com,845-243-2940,"247 Dunning Rd, Middletown, NY 10940",Middletown,NY,shopbotanist.com,,https://www.shopbotanist.com/locations/middletown/
106,The Botanist,queens@shopbotanist.com,917-810-4540,"Queens, NY",Queens,NY,shopbotanist.com,,https://www.shopbotanist.com/locations/queens/
107,Weed In Nyc,info@weedinnyc.org,551-245-7211,"Manhattan , NY 10013",Manhattan,NY,weedinnyc.org,,https://www.yelp.com/biz/weed-in-nyc-manhattan?osq=Marijuana
108,Green Flamingo,,,"1395 Nostrand Ave, Brooklyn, NY 11226",Brooklyn,NY,www.greenflamingony.com,,https://www.yelp.com/biz/green-flamingo-brooklyn?osq=Cannabis+Dispensaries
109,The Grove Delivery - El Cajon / Santee / Alpine / Lakeside,orders3@thegroveca.com,619-420-4420,"El Cajon, California",El Cajon,CA,www.thegroveca.com,,https://weedmaps.com/deliveries/the-grove-delivery-10
110,Cali Xpress,99oz69@calixpress.org,415-295-6999,"El Cajon, California",El Cajon,CA,www.calixpress.org,,https://weedmaps.com/deliveries/cali-xpress-9035
111,Budee,contact170@budee.org,925-684-6774,"Elmhurst, California",Elmhurst,CA,www.budee.org,,https://weedmaps.com/deliveries/budee-288
112,Silverstreak Solutions,silverstreakdispatch13@gmail.com,916-741-7339,"Sacramento, California",Sacramento,CA,,,https://weedmaps.com/deliveries/silverstreak-solutions-7
113,GoTreez - Sacramento,gotreezdelivery10@gmail.com,888-601-8011,"Sacramento, California",Sacramento,CA,,,https://weedmaps.com/deliveries/gotreez-sacramento
114,NorCal Holistics,orders5@norcalholistics.org,916-993-5361,"Sacramento, California",Sacramento,CA,www.norcalholistics.org,,https://weedmaps.com/deliveries/norcal-holistics-4
115,Jay Goods Delivery,orders.jaygoodsdelivery7@gmail.com,279-600-4368,"Sacramento, California",Sacramento,CA,,,https://weedmaps.com/deliveries/jay-goods-delivery
116,Speedy Weedy Delivery,questions9@myspeedyweedy.com,747-333-3331,"Encino, California",Encino,CA,www.myspeedyweedy.com,,https://weedmaps.com/deliveries/the-healing-touch-delivery
117,Hazel Delivery,hazeldelivery6@gmail.com,818-929-1311,"Encino, California",Encino,CA,,,https://weedmaps.com/deliveries/hazel-encino
118,Good Tree,support58@goodtreedelivery.com,562-315-8955,"Encino, California",Encino,CA,www.goodtreedelivery.com,,https://weedmaps.com/deliveries/good-tree-120
119,CanEx Delivery,Info58@canexdelivery.com,310-574-2795,"Encino, California",Encino,CA,www.canexdelivery.com,,https://weedmaps.com/deliveries/canex-2
120,Emjay - El Cajon,support39@heyemjay.com,415-853-6529,"El Cajon, California",El Cajon,CA,www.heyemjay.com,,https://weedmaps.com/deliveries/emjay-el-cajon
121,Amuse Cannabis Delivery [Encino],help44@amuse.com,424-403-1847,"Encino, California",Encino,CA,www.amuse.com,,https://weedmaps.com/deliveries/amuse-cannabis-delivery-encino
122,Cali Xpress,99oz70@calixpress.org,415-295-6999,"Encino, California",Encino,CA,www.calixpress.org,,https://weedmaps.com/deliveries/cali-xpress-8972
123,SUGARBUDZ,SugarbudzPacoima5@gmail.com,800-998-3062,"Encino, California",Encino,CA,,,https://weedmaps.com/deliveries/sugarbudz-11
124,Emberz Delivery,emberzdelivery5@gmail.com,310-935-0063,"Encino, California",Encino,CA,,,https://weedmaps.com/deliveries/emberz-delivery-encino
125,GRASSDOOR,support64@grassdoor.com,747-666-8495,"Encino, California",Encino,CA,www.grassdoor.com,,https://weedmaps.com/deliveries/grassdoor
126,Rebud,montebello41@rebud.com,818-699-9900,"Encino, California",Encino,CA,www.rebud.com,,https://weedmaps.com/deliveries/golden-leaf-8
127,HHC - Healthy Herbal Care Delivery,hhccollective4202@gmail.com,818-453-8085,"Encino, California",Encino,CA,,,https://weedmaps.com/deliveries/hhc-healthy-herbal-care-delivery
128,H.A.I Holistic Alternative Inc.,info2@hai420.com,818-722-9333,"Encino, California",Encino,CA,www.hai420.com,,https://weedmaps.com/deliveries/h-a-i-holistic-alternative-inc-3
129,Speedy Weedy Delivery,sales9@weedydelivers.com,619-333-3331,"La Mesa, California",La Mesa,CA,www.weedydelivers.com,,https://weedmaps.com/deliveries/speedy-weedy-delivery-cannabis
130,Speedy Weedy Delivery,questions10@myspeedyweedy.com,747-333-3334,"Sherman Oaks, California",Sherman Oaks,CA,www.myspeedyweedy.com,,https://weedmaps.com/deliveries/speedy-weedy-delivery-sherman-oaks
131,iWeed,iweed0056@gmail.com,747-203-5085,"Encino, California",Encino,CA,,,https://weedmaps.com/deliveries/iweed-431
132,CanEx Delivery,Info59@canexdelivery.com,310-574-2795,"Van Nuys, California",Van Nuys,CA,www.canexdelivery.com,,https://weedmaps.com/deliveries/canex-delivery-2
133,Sunset Herbal - Sherman Oaks,sunsetherbalcorner68@gmail.com,818-762-2282,"Sherman Oaks, California",Sherman Oaks,CA,,,https://weedmaps.com/deliveries/sunset-herbal-sherman-oaks
134,Budee,contact171@budee.org,925-684-6774,"Woodland Hills / Tarzana / Canoga Park, California",Woodland Hills / Tarzana / Canoga Park,CA,www.budee.org,,https://weedmaps.com/deliveries/budee-69
135,Blitz Direct,info3@Blitzdirect.com,747-230-6314,"Sherman Oaks, California",Sherman Oaks,CA,www.Blitzdirect.com,,https://weedmaps.com/deliveries/crown-genetics-delivery-2
136,DNA Weed,dnaladelivery8@gmail.com,323-494-4115,"Sherman Oaks / Studio City, California",Sherman Oaks / Studio City,CA,,,https://weedmaps.com/deliveries/dna-weed-8
137,Speedy Weedy Delivery,questions11@myspeedyweedy.com,747-333-3332,"Van Nuys, California",Van Nuys,CA,www.myspeedyweedy.com,,https://weedmaps.com/deliveries/speedy-weedy-delivery-van-nuys
138,Emjay Cannabis Delivery - Sherman Oaks / Studio City,support40@heyemjay.com,415-853-6529,"Sherman Oaks, California",Sherman Oaks,CA,www.heyemjay.com,,https://weedmaps.com/deliveries/emjay-13
139,Cannabis Kingdom,Info7@cannabiskingdom.com,619-716-9177,"Lemon Grove, California",Lemon Grove,CA,www.cannabiskingdom.com,,https://weedmaps.com/deliveries/cannabis-kingom-lemon-grove
140,Hazel Delivery - Grand Opening!,hazeldelivery7@gmail.com,818-929-1311,"Sherman Oaks, California",Sherman Oaks,CA,,,https://weedmaps.com/deliveries/hazel-delivery-6
141,SUGARBUDZ,SugarbudzPacoima6@gmail.com,800-998-3062,"Northridge, California",Northridge,CA,,,https://weedmaps.com/deliveries/sugarbudz
142,Dr. Greenthumb's Delivery - Sherman Oaks,dgtsylmardelivery5@gmail.com,818-966-8020,"Sherman Oaks, California",Sherman Oaks,CA,,,https://weedmaps.com/deliveries/dr-greenthumb-s-delivery
143,CanEx Delivery,Info60@canexdelivery.com,310-574-2795,"Reseda, California",Reseda,CA,www.canexdelivery.com,,https://weedmaps.com/deliveries/canex-delivery-3
144,Budee,contact172@budee.org,925-684-6774,"Van Nuys, California",Van Nuys,CA,www.budee.org,,https://weedmaps.com/deliveries/budee-d557e564-a81f-4aa5-b843-b6dcca96117e
145,The Higher Path Delivery,info2@thehigherpath.com,818-385-1224,"Sherman Oaks, California",Sherman Oaks,CA,www.thehigherpath.com,,https://weedmaps.com/deliveries/the-higher-path
146,Amuse Cannabis Delivery [Van Nuys],help45@amuse.com,424-403-1847,"Van Nuys, California",Van Nuys,CA,www.amuse.com,,https://weedmaps.com/deliveries/amuse-cannabis-delivery-vannuys
